Нижняя Пеша;Верхняя Пеша;0,57;0,00;0,00;0,00
Оксино;Макарово;0,00;0,00;1,75;0,69
Оксино;Нельмин-Нос;0,00;0,31;0,00;0,00
Оксино;Лабожское;0,00;0,00;3,00;0,78
Оксино;Хонгурей;0,00;0,00;0,50;0,50
Оксино;Каменка;0,00;0,00;1,00;1,00
Оксино;Тошвиска;0,00;0,00;3,50;3,50
Оксино;Щелино;0,00;0,00;2,08;1,50
Оксино;Коткино;0,00;0,00;6,58;4,58
Оксино;Пылемец;0,00;0,00;0,58;0,20
Ома;Вижас;0,00;0,13;0,00;0,00
Ома;Снопа;0,00;0,12;0,00;0,00
Ома;Нижняя Пеша;0,00;0,27;0,00;0,00
Ома;Индига;0,00;0,00;0,00;0,00
Ома;Чижа;0,00;0,53;0,00;0,00
Пылемец;Щелино;0,00;0,00;1,42;1,00
Пылемец;Коткино;0,00;0,00;5,92;3,00
Пылемец;Устье;0,60;0,00;0,00;0,00
Пылемец;Тельвиска;0,86;0,00;0,00;0,00
Тельвиска;Устье;0,55;0,00;0,00;0,00
Тельвиска;Искателей;0,00;0,00;0,00;0,00
Усинск;Искателей;5,83;0,00;0,00;0,00
Усинск;Красное;6,10;0,00;0,00;0,00
Усинск;Харьягинский;2,72;0,00;0,00;0,00
Усть-Кара;Амдерма;0,00;0,95;0,00;0,00
Усть-Кара;Каратайка;0,00;1,01;0,00;0,00
Харута;Хорей-Вер;0,00;0,63;0,00;0,00
Хонгурей;Каменка;0,50;0,00;0,00;0,00
Чижа;Индига;0,00;1,29;0,00;0,00
Шойна;Чижа;0,00;0,44;0,00;0,00
Щелино;Коткино;0,00;0,00;4,03;2,00
